ID,Field,Question,Principle,Challenge,Knowledge Base,Source
1,Quantum Physics,Design a novel transportation technology using quantum levitation and superconductivity to reduce urban traffic congestion.,Quantum levitation and superconductivity,Urban traffic congestion,"Quantum levitation, also known as quantum locking, occurs when a superconductor is cooled below its critical temperature and expels magnetic fields from its interior (Meissner effect), allowing it to lock in space above a magnet due to flux pinning.",Wikipedia
2,Quantum Physics,Propose a secure communication system based on quantum entanglement to achieve ultra-secure data transmission.,Quantum entanglement,Data transmission security,"Quantum entanglement is a physical phenomenon that occurs when a pair or group of particles are generated, interact, or share spatial proximity in ways such that the quantum state of each particle cannot be described independently of the state of the others.",Wikipedia
3,Quantum Physics,Design a novel computer architecture based on quantum superposition to enhance computational efficiency.,Quantum superposition,Computational efficiency,Quantum superposition is a fundamental principle of quantum mechanics that holds that a physical system—such as an electron—exists simultaneously in all its possible states until it is measured.,Wikipedia
4,Quantum Physics,Propose a novel encryption technology based on quantum decoherence to ensure data security.,Quantum decoherence,Data security,"Quantum decoherence is the loss of quantum coherence, wherein a system's behavior transitions from that which can be described by quantum mechanics to that which can be described by classical mechanics.",Wikipedia
5,Quantum Physics,Design a novel sensor based on the quantum Hall effect for high-precision measurements.,Quantum Hall effect,High-precision measurements,"The quantum Hall effect is a quantum mechanical version of the Hall effect, observed in two-dimensional electron systems subjected to low temperatures and strong magnetic fields, where the Hall conductance undergoes quantum Hall transitions to take on quantized values.",Wikipedia
6,Quantum Physics,Propose a novel storage system based on quantum bits to increase data storage density.,Quantum bits,Data storage density,"A qubit, or quantum bit, is the basic unit of quantum information—the quantum version of the classical binary bit physically realized with a two-state device.",Wikipedia
7,Quantum Physics,Design a quantum-enhanced logistics system using quantum algorithms for ultra-efficient package routing and optimization.,Quantum algorithms,Package routing and optimization,"A quantum algorithm runs on a quantum computer, using superposition and entanglement to outperform classical algorithms in certain tasks, like factoring (Shor’s algorithm) and searching (Grover’s algorithm)",Wikipedia
8,Quantum Physics,Propose a novel energy system based on quantum coherence to improve energy conversion efficiency.,Quantum coherence,Energy conversion efficiency,"Quantum coherence refers to the property of a quantum system where all the particles are in phase, leading to observable interference effects.",Wikipedia
9,Quantum Physics,Design a novel medical device based on quantum tunneling for non-invasive detection.,Quantum tunneling,Non-invasive detection,"In quantum mechanics, quantum tunneling is the phenomenon where a particle tunnels through a barrier that it classically could not surmount.",Wikipedia
10,Quantum Physics,"Based on quantum computing, a quantum-enhanced climate modeling system for simulating atmospheric dynamics is proposed.",Quantum computing,Climate modeling,"Quantum computing is a type of computation that harnesses the collective properties of quantum states, such as superposition and entanglement, to perform calculations.",Chatgpt-4o
11,Artificial Intelligence,Propose a novel education system based on deep learning principles to achieve personalized learning.,Deep learning,Personalized learning,Deep learning is a class of machine learning algorithms that use multiple layers to progressively extract higher-level features from the raw input.,Wikipedia
12,Artificial Intelligence,Design a novel traffic management system based on reinforcement learning to optimize traffic light control.,Reinforcement learning,Traffic light control,Reinforcement learning is an area of machine learning concerned with how agents ought to take actions in an environment in order to maximize some notion of cumulative reward.,Wikipedia
13,Artificial Intelligence,Propose a novel art creation tool based on Generative Adversarial Networks (GAN).,Generative Adversarial Networks (GAN),Art creation,A generative adversarial network (GAN) is a class of machine learning frameworks designed by Ian Goodfellow and his colleagues in 2014. Two neural networks contest with each other in a game.,Wikipedia
14,Artificial Intelligence,Design a novel medical imaging diagnostic system based on Convolutional Neural Networks (CNN).,Convolutional Neural Networks (CNN),Medical imaging diagnostics,"A convolutional neural network (CNN) is a class of deep neural networks, most commonly applied to analyze visual imagery.",Wikipedia
15,Artificial Intelligence,Propose a novel legal consultation system based on Natural Language Processing (NLP) to automate legal advice generation.,Natural Language Processing (NLP),Legal advice generation,"Natural language processing (NLP) is a subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language.",Wikipedia
16,Artificial Intelligence,Design a novel financial risk prediction model based on transfer learning.,Transfer learning,Financial risk prediction,Transfer learning is a research problem in machine learning that focuses on storing knowledge gained while solving one problem and applying it to a different but related problem.,Wikipedia
17,Artificial Intelligence,Propose a novel social network analysis tool based on Graph Neural Networks (GNN).,Graph Neural Networks (GNN),Social network analysis,A graph neural network (GNN) is a class of artificial neural networks for processing data that can be represented as graphs.,Wikipedia
